    X           Y            F606W      F814W
   6107.5600   4053.6800     25.6369     22.4264
   5334.9600   4054.9900     26.6253     23.1627
   5669.7100   4054.4800     25.0729     22.1348
   5770.1300   4055.4000     26.8773     23.4623
   5992.0300   4055.3300     23.1080     20.0803
   6563.1600   4054.6200     25.2421     22.2585
   4850.4500   4056.0400     32.6866     23.1667
   6513.5500   4056.0700     25.2524     22.5338
   3989.8300   4056.7400     19.1325     15.5074
   5359.9000   4056.4800     25.4778     22.4761
   2712.5600   4057.8200     25.7006     22.7676
   6736.0100   4058.4700     24.7245     21.8514
   6850.5900   4057.9700     24.3688     21.3553
   4784.5800   4059.0200     25.4401     22.4058
   5613.5300   4059.1800     25.7257     22.8323
   6076.9500   4058.7900     24.6205     21.8673
   3969.5600   4059.8600     25.6722     22.4163
   4520.5400   4059.9800     25.4591     22.0611
   5673.5200   4059.8100     23.9309     20.8432
   6144.9300   4059.9000     25.8964     23.2804
   5137.8400   4061.2600     27.3995     22.5399
   5587.9600   4061.4500     24.9179     21.9759
   5708.6600   4060.9500     24.2441     21.3122
   6385.3500   4061.0600     25.9248     22.7197
   2673.0100   4062.9300     24.0691     20.6145
   3588.3000   4062.9700     25.0558     22.0655
   5043.1900   4062.8700     25.0739     22.0083
   6678.3900   4063.2900     25.0236     21.9727
   6745.7800   4062.5600     25.9248     22.9517
   3820.9500   4064.3900     26.2483     22.9738
   5124.5700   4063.8000     26.3992     23.3368
   6428.4200   4064.2500     25.2092     22.3006
   3052.2300   4064.8900     24.9838     22.2258
   5768.4300   4064.5700     24.8156     21.9462
   6323.3500   4065.1600     25.5421     22.7071
   6700.0400   4064.7400     26.0272     23.3587
   6976.2300   4064.9500     24.1629     21.2072
   2879.5800   4066.2300     26.7571     23.5301
   6172.5900   4066.3000     25.1696     22.3857
   4767.1300   4066.6400     26.2607     23.1233
   6332.7000   4066.5100     23.1694     20.2091
   7025.7100   4067.3700     24.4558     21.6583
   3594.1700   4067.6600     24.6810     21.7493
   3693.9800   4068.2500     24.4417     21.3486
   6566.0300   4067.7500     26.5335     23.4394
   3667.8300   4069.4300     26.5185     23.6996
   4919.0100   4069.3100     26.2618     23.0950
   5354.0900   4068.8400     26.5648     23.5872
   3113.4300   4069.5500     25.2948     22.5469
   5628.1500   4069.7300     24.7620     21.9320
   5677.9200   4069.7700     24.5501     21.7124
   5816.3700   4069.4900     26.8160     23.8241
   5939.2100   4069.5300     22.9250     20.1092
   6356.2600   4069.7000     25.3703     22.4709
   4700.5400   4070.6500     26.3781     23.2444
   7120.4400   4071.1800     26.1090     23.1223
   5791.6200   4071.5900     23.7405     20.6727
   6115.5700   4072.3000     22.7945     20.2972
   3021.2700   4072.7300     26.5686     23.5917
   3745.4000   4072.8400     24.9950     21.8595
   4134.7200   4072.5700     26.9940     23.8422
   5184.3800   4073.3600     26.0701     23.2212
   6510.0800   4074.4500     26.0875     23.3760
