   X             Y          F275W        F336W      F438W       F814W
   3779.0375   2790.2668     99.9999     99.9999     99.9999     18.5958
   4394.7331   2790.8777     99.9999     99.9999     99.9999     18.2007
   4334.0968   2791.9435     99.9999     99.9999     99.9999     17.2401
   4131.6308   2793.2589     99.9999     99.9999     99.9999     17.3563
   4470.2495   2792.5534     99.9999     99.9999     99.9999     18.6827
   4584.8117   2793.3972     99.9999     99.9999     99.9999     19.2918
   5692.3634   2792.9137     99.9999     21.1148     21.0166     18.6465
   4287.7778   2794.0876     99.9999     99.9999     99.9999     17.1920
   4515.2798   2794.1330     99.9999     99.9999     99.9999     19.2006
   4716.3637   2793.7925     99.9999     99.9999     99.9999     19.2543
   4190.4241   2794.9656     99.9999     99.9999     99.9999     18.0419
   5029.8098   2794.9016     99.9999     99.9999     20.6341     18.4356
   5520.7308   2794.9820     99.9999     21.3133     21.1797     18.7813
   5616.1891   2794.7976     99.9999     23.4929     22.7594     19.7633
   4572.3038   2795.8801     99.9999     99.9999     99.9999     18.4611
   5229.8183   2795.6702     22.7489     21.3527     21.1355     18.7722
   5061.3296   2797.7703     99.9999     19.3866     19.5051     17.5278
   5482.2528   2798.7780     19.0525     17.5091     17.3274     14.8934
   5695.9050   2798.8710     99.9999     23.6681     22.7238     19.7909
   3913.0859   2800.8646     99.9999     99.9999     99.9999     18.5425
   5251.6004   2801.3220     21.9178     20.6500     20.6728     18.3860
   5711.9338   2800.6005     99.9999     21.3265     21.2014     18.7527
   5130.1938   2801.9893     99.9999     99.9999     22.9422     19.8075
   5557.3863   2802.0694     99.9999     23.1554     22.4329     19.5348
   4445.1242   2802.6878     99.9999     99.9999     99.9999     19.7324
   4614.0337   2803.2306     99.9999     99.9999     99.9999     17.7423
   4461.8143   2805.4560     99.9999     99.9999     99.9999     19.4620
   4675.5975   2804.9552     99.9999     99.9999     99.9999     19.4079
   4975.2922   2804.8423     99.9999     19.6752     19.8092     17.8280
   5806.3316   2805.0555     99.9999     99.9999     20.5851     18.2976
   4425.1563   2805.5915     99.9999     99.9999     99.9999     19.5411
   5144.8778   2806.2570     99.9999     23.2158     22.4191     19.5278
   4692.5239   2807.4066     99.9999     99.9999     99.9999     17.8671
   4851.8324   2807.1342     99.9999     19.9221     20.0547     17.9985
   3706.2588   2808.5481     99.9999     99.9999     99.9999     15.4936
   3896.9272   2809.3834     99.9999     99.9999     99.9999     18.8534
   5614.2537   2809.5098     99.9999     22.8913     22.3306     19.5173
   5137.9941   2810.9729     99.9999     20.0592     20.0783     18.0194
   3967.2693   2811.6771     99.9999     99.9999     99.9999     15.0496
   5822.7418   2812.1790     99.9999     99.9999     19.1597     17.1524
   3792.1442   2813.9754     99.9999     99.9999     99.9999     18.8370
   5022.3632   2814.2406     99.9999     20.6047     20.6345     18.4108
   4979.4045   2817.0185     99.9999     21.9998     21.6130     19.1092
   3907.8653   2817.9236     99.9999     99.9999     99.9999     17.7962
   5144.5090   2819.0554     99.9999     20.3692     20.3877     18.2193
   4132.4457   2819.5195     99.9999     99.9999     99.9999     16.8553
   4363.2486   2819.5985     99.9999     99.9999     99.9999      9.2517
   4755.6401   2820.4521     99.9999     99.9999     20.5881     18.4001
   4800.9471   2819.6562     99.9999     99.9999     22.9633     19.9291
   5217.3139   2820.2297     99.9999     23.1734     22.3288     19.5559
   5711.9179   2819.6935     99.9999     19.3084     19.4534     17.4691
   5763.3412   2819.7259     99.9999     18.8433     18.9147     16.9844
   5275.5749   2821.1857     19.4278     18.1598     17.9902     15.7017
   3771.1179   2822.0039     99.9999     99.9999     99.9999     18.4987
   5642.4226   2821.6048     99.9999     18.2001     18.2593     16.3373
   5935.8927   2822.2856     99.9999     99.9999     99.9999     18.8639
   6007.2404   2823.0141     99.9999     99.9999     99.9999     18.4707
   3894.4013   2823.6271     99.9999     99.9999     99.9999     19.5390
   5096.7189   2824.4232     99.9999     99.9999     18.4451     16.5609
   5595.9961   2824.3109     99.9999     21.1925     21.0142     18.6749
   5613.1889   2824.7766     99.9999     21.6484     21.3936     18.9208
   5964.8627   2824.9486     99.9999     99.9999     99.9999     17.9323
   4693.8011   2826.9834     99.9999     99.9999     99.9999     18.0062
   4545.6985   2828.4367     99.9999     99.9999     99.9999     19.9279
   4953.7207   2827.9029     99.9999     19.2596     19.3676     17.4421
   3704.5534   2829.6802     99.9999     99.9999     99.9999     18.8501
   4920.1480   2830.4674     99.9999     23.3768     22.4824     19.6817
   5385.2307   2829.7160     21.1701     20.1019     20.1667     17.9490
   6034.1947   2829.6282     99.9999     99.9999     99.9999     16.1714
   4070.7834   2830.6704     99.9999     99.9999     99.9999     18.3886
   5945.8370   2831.4617     99.9999     99.9999     99.9999     18.6358
   4261.3669   2831.7263     99.9999     99.9999     99.9999     18.4744
   4749.6906   2832.3740     99.9999     99.9999     17.3154     14.9600
   4589.4202   2832.6693     99.9999     99.9999     99.9999     17.0762
   3797.7269   2834.1589     99.9999     99.9999     99.9999     18.3462
   5136.6875   2833.6898     99.9999     21.2420     21.0587     18.7165
   5775.0236   2834.1732     99.9999     19.9730     20.0310     17.8921
   5927.0113   2834.4625     99.9999     99.9999     99.9999     18.6045
   4574.7567   2834.9771     99.9999     99.9999     99.9999     17.8501
   5357.6835   2835.9169     20.2075     19.2144     19.3342     17.4132
   5826.6903   2836.0978     99.9999     99.9999     21.7252     19.0413
   4311.5308   2836.7697     99.9999     99.9999     99.9999     16.0351
   5873.9806   2837.2133     99.9999     99.9999     20.5776     18.3734
   5340.7367   2838.0267     99.9999     23.5153     22.7096     19.6730
   4036.2196   2838.7759     99.9999     99.9999     99.9999     17.6941
   3711.0849   2840.3046     99.9999     99.9999     99.9999     18.2825
   6078.4693   2840.1891     99.9999     99.9999     99.9999     17.1054
   5017.9043   2841.1893     99.9999     20.7123     99.9999     18.4183
   5274.9698   2840.7813     18.0659     16.3533     16.1020     13.5499
   5666.6736   2841.1267     99.9999     21.6865     21.5336     18.9552
   5695.9806   2840.8243     99.9999     21.5775     21.3343     18.8284
   5949.3039   2841.0632     99.9999     99.9999     99.9999     19.6744
   5802.0146   2842.3690     99.9999     99.9999     19.4948     17.4417
   4126.5951   2844.1191     99.9999     99.9999     99.9999     18.5914
   5351.6260   2845.2148     19.6700     18.7338     18.8395     16.9639
   5957.2184   2845.2433     99.9999     99.9999     99.9999     19.1339
   5382.9862   2845.9267     19.0121     18.0554     18.0978     16.1864
   5614.6015   2845.8720     99.9999     20.8464     20.7820     18.5329
   6286.2357   2846.4900     99.9999     99.9999     99.9999     18.7291
   3652.9164   2847.2847     99.9999     99.9999     99.9999     19.8065
